parentNumber,number,preferredName,legalName,gender,bornAt,deceased,diedAt,birthOrder,relationshipType,profession,phone,email,address,city,postCode,country,placeOfBirth,placeOfDeath,buriedLocation
,1,Basia,Basia Adanez,,01/03/1987,yes,01/04/1988,,,,,,,,,,
1,2,Phelia,Phelia Curness,female,,,,,,,,,,,,,
1,3,Lydia,Lydia Kaveney,female,,,,,,,,,,,,,
1,4,Mariam,Mariam Pehrsson,unknown,,,,,birth,Account Executive,7679604193,mpehrsson3@npr.org,5906 Village Center,Indonesia,City,1234,,,
2,5,Bernadene,Bernadene Flewett,other,,,,,adopted,Senior Sales Associate,4514768905,bflewett4@boston.com,3 Maryland Lane,South Africa,City,1234,,,
2,6,Blanche,Blanche Linning,male,,,,,birth,Food Chemist,8992710595,blinning5@yale.edu,0577 Iowa Circle,Germany,City,1234,,,
2,7,Alison,Alison Paynes,female,,,,,adopted,Paralegal,4678999094,apaynes6@bbb.org,8 Lillian Center,Venezuela,City,1234,,,
2,8,Mack,Mack Colebourn,male,,,,,adopted,Staff Scientist,3921332044,mcolebourn7@opera.com,36 Claremont Road,Slovenia,City,1234,,,
2,9,Christin,Christin Lukock,female,,,,,birth,Director of Sales,1134695603,clukock8@ibm.com,7 Rowland Lane,Indonesia,City,1234,,,
3,10,Kristoforo,Kristoforo Wotherspoon,male,,,,,adopted,Assistant Professor,6729037965,kwotherspoon9@flavors.me,1915 Dapin Center,China,City,1234,,,
3,11,Madelina,Madelina Keenlyside,male,,,,,whangai,Assistant Manager,2702388951,mkeenlysidea@about.me,51 Eliot Way,Canada,City,1234,,,
3,12,Jorrie,Jorrie Lente,female,,,,,birth,Nurse Practicioner,8181353963,jlenteb@i2i.jp,8915 Hudson Trail,Poland,City,1234,,,
3,13,Fionnula,Fionnula Polhill,female,,,,,birth,Community Outreach Specialist,2411234164,fpolhillc@yale.edu,8 Superior Crossing,Indonesia,City,1234,,,
3,14,Nanice,Nanice Male,male,,,,,birth,Web Designer I,2411251853,nmaled@netlog.com,7573 Victoria Street,France,City,1234,,,
4,15,Melisandra,Melisandra Giordano,female,,,,,adopted,Help Desk Operator,4913494030,mgiordanoe@businessweek.com,598 Melody Drive,Brazil,City,1234,,,
4,16,Karim,Karim Tann,female,,,,,birth,Administrative Officer,2285304554,ktannf@people.com.cn,900 Kim Drive,Indonesia,City,1234,,,
4,17,Maxi,Maxi Verling,male,,,,,whangai,Actuary,9072438674,mverlingg@chicagotribune.com,6323 West Trail,China,City,1234,,,
4,18,Boothe,Boothe Lasslett,male,,,,,birth,Statistician II,3351780986,blassletth@newsvine.com,39 Clove Terrace,China,City,1234,,,
4,19,Anna-diane,Anna-diane Gerty,female,,,,,whangai,Payment Adjustment Coordinator,3897564237,agertyi@yelp.com,913 Sutherland Street,Lithuania,City,1234,,,
5,20,Verile,Verile Baelde,male,,,,,birth,Teacher,2164804397,vbaeldej@sfgate.com,80670 Brickson Park Crossing,Cuba,City,1234,,,
5,21,Atlante,Atlante Bickell,female,,,,,whangai,Health Coach II,8456860556,abickellk@phoca.cz,74 Warner Parkway,Russia,City,1234,,,
5,22,Thea,Thea Gelder,male,,,,,whangai,Research Nurse,8229701627,tgelderl@ox.ac.uk,77309 Corscot Park,Portugal,City,1234,,,
5,23,Hamlen,Hamlen Teasdale-Markie,male,,,,,whangai,Research Nurse,4699529952,hteasdalemarkiem@wp.com,279 Mesta Pass,Bahrain,City,1234,,,
5,24,Sonni,Sonni Liddiatt,female,,,,,adopted,Recruiter,1838218060,sliddiattn@tumblr.com,547 Manufacturers Center,Philippines,City,1234,,,
6,25,Aridatha,Aridatha Murrison,female,,,,,whangai,Geologist II,9141408774,amurrisono@homestead.com,7 Scott Circle,Indonesia,City,1234,,,
6,26,Torrence,Torrence De Angelo,female,,,,,whangai,Computer Systems Analyst III,4328098718,tdep@bluehost.com,359 Heath Pass,Canada,City,1234,,,
6,27,Ed,Ed Boarer,male,,,,,whangai,Information Systems Manager,1097681946,eboarerq@tinyurl.com,75538 Nova Place,France,City,1234,,,
6,28,Elisha,Elisha Skoof,male,,,,,whangai,Occupational Therapist,8474307320,eskoofr@sakura.ne.jp,63541 Corscot Park,Indonesia,City,1234,,,
6,29,Perice,Perice Rubes,female,,,,,whangai,Food Chemist,8414812644,prubess@simplemachines.org,49539 Eagle Crest Park,Brazil,City,1234,,,
7,30,Nalani,Nalani Aggis,female,,,,,whangai,Information Systems Manager,3015844809,naggist@vinaora.com,8556 Maple Wood Plaza,El Salvador,City,1234,,,
7,31,Orion,Orion Maslen,male,,,,,adopted,Human Resources Manager,6786942725,omaslenu@java.com,495 Laurel Place,Japan,City,1234,,,
7,32,Leonanie,Leonanie Rallinshaw,male,,,,,whangai,Research Associate,7836653696,lrallinshawv@state.tx.us,90689 Pearson Lane,China,City,1234,,,
7,33,Sidney,Sidney Yewdell,female,,,,,birth,Biostatistician I,7019087070,syewdellw@ustream.tv,3161 Warner Way,Armenia,City,1234,,,
7,34,Kania,Kania Tanswill,female,,,,,adopted,Actuary,3764803385,ktanswillx@nbcnews.com,05 Killdeer Plaza,Indonesia,City,1234,,,
8,35,Joanie,Joanie Loughan,male,,,,,adopted,Software Test Engineer II,5171936705,jloughany@shinystat.com,307 Mesta Plaza,Indonesia,City,1234,,,
8,36,Bibbye,Bibbye Creeghan,male,,,,,birth,Junior Executive,9494450722,bcreeghanz@comcast.net,70 Coolidge Place,Colombia,City,1234,,,
8,37,Sibylla,Sibylla Vigneron,male,,,,,adopted,Geological Engineer,1502466300,svigneron10@accuweather.com,05197 Anhalt Way,Sweden,City,1234,,,
8,38,Rinaldo,Rinaldo Tuttle,female,,,,,adopted,Social Worker,4506923108,rtuttle11@so-net.ne.jp,089 Lakeland Plaza,China,City,1234,,,
8,39,Codie,Codie Gasnoll,female,,,,,adopted,Nurse,5921342174,cgasnoll12@noaa.gov,08 Surrey Parkway,Russia,City,1234,,,
9,40,Irving,Irving Hartwright,male,,,,,adopted,Structural Engineer,8996599221,ihartwright13@msn.com,6316 Wayridge Point,Ukraine,City,1234,,,
